"","SN","number.leaves","Learning.Rate","number.iteration","maximum.bin","maximum.depth","acu","precision","recall","fscore","corr","training.error","test.error"
"142",141,85,0.05,90,32,7,0.82715523561541,0.574150718183277,0.639440559440559,0.600327983403338,0.574296591196145,0.00918340487661838,0.207691667538795
"143",142,171,0.05,90,32,8,0.844895139341718,0.598459286974304,0.596783216783217,0.5966902619263,0.593906879604059,0.00505969189000552,0.197072717009697
"144",143,341,0.05,90,32,9,0.828571165957009,0.57481387876864,0.562377622377622,0.567796672581362,0.56603077565813,0.00393539402729888,0.209172856676321
"145",144,683,0.05,90,32,10,0.825410745437345,0.592990407024032,0.544055944055944,0.561637933265202,0.562623025185089,0.00337342043825673,0.207604601811421
"146",145,21,0.05,90,33,5,0.836620101734628,0.537202208682407,0.663869463869464,0.59161442871224,0.58308691163749,0.038600319019612,0.224166760184042
"147",146,43,0.05,90,33,6,0.835899585366114,0.577411217153758,0.645034965034965,0.603691828293709,0.578511757423981,0.0181791855775407,0.208366421672158
"148",147,85,0.05,90,33,7,0.825817993969317,0.549912363127357,0.617249417249417,0.578917522010084,0.564467404938743,0.00936961413041571,0.219633353045535
"149",148,171,0.05,90,33,8,0.833822642884265,0.552848195447816,0.566060606060606,0.55414610835454,0.563861842649976,0.0044975424647302,0.221172060622796
"150",149,341,0.05,90,33,9,0.841437149455474,0.566735155424709,0.581118881118881,0.569094941311913,0.581541996537174,0.00318633002760556,0.21446678073685
"151",150,683,0.05,90,33,10,0.83722185766223,0.605949651504035,0.541538461538462,0.570198023280912,0.578168778338085,0.00318545183428374,0.197872174987191
"152",151,21,0.05,90,34,5,0.823117276136339,0.547197189611221,0.590582750582751,0.562648968452484,0.556525789933574,0.03842075334604,0.222638055813692
"153",152,43,0.05,90,34,6,0.841050038413715,0.59311436383871,0.607925407925408,0.595892514090656,0.578524484150614,0.0194916351246429,0.200902222014873
"154",153,85,0.05,90,34,7,0.84533849481389,0.579282869118317,0.623869463869464,0.595054951135061,0.593381737733494,0.00787219540302577,0.20682302771855
"155",154,171,0.05,90,34,8,0.832409324744185,0.603563181833854,0.586853146853147,0.589799695912005,0.573291683832252,0.005809282081273,0.197159719691649
"156",155,341,0.05,90,34,9,0.835231410626711,0.571943918150815,0.55972027972028,0.562034917347035,0.580239354870489,0.00412300931239886,0.21594998732787
"157",156,683,0.05,90,34,10,0.834803158846309,0.538557551427729,0.605454545454545,0.569669591392689,0.570106829807007,0.0033730687657904,0.224126242993027
"158",157,21,0.05,90,35,5,0.835785790978639,0.55059968659595,0.632960372960373,0.583778484425434,0.581675906462288,0.0414205507655768,0.220396139602738
"159",158,43,0.05,90,35,6,0.833188795343369,0.539539535153497,0.639114219114219,0.583577880029314,0.574793570633703,0.0204253360597564,0.222646167657951
"160",159,85,0.05,90,35,7,0.838469588635098,0.565843785843786,0.587132867132867,0.572562657999278,0.580469333871391,0.00993264273685686,0.21213548713306
"161",160,171,0.05,90,35,8,0.834937980594845,0.602608083433403,0.547505827505828,0.571098122975459,0.581101959978819,0.00468515807911151,0.202390808481879
"162",161,341,0.05,90,35,9,0.831000861280158,0.561937646946721,0.611608391608392,0.582707796761838,0.568931180759491,0.00412388915212736,0.214346279920832
"163",162,683,0.05,90,35,10,0.832843237251395,0.59847056811014,0.547039627039627,0.56825644517167,0.576590559140509,0.00318562865836091,0.202395915161037
"164",163,21,0.05,90,36,5,0.837846606704298,0.547890258155681,0.657249417249417,0.593013263037382,0.579003007267399,0.0386050356454619,0.222621159640675
"165",164,43,0.05,90,36,6,0.837108364108512,0.568879910291704,0.614778554778555,0.587950392500756,0.580001442761749,0.0189287820251536,0.211411620616189
"166",165,85,0.05,90,36,7,0.833182740776948,0.581588832254213,0.59020979020979,0.585371003917983,0.578869391173309,0.00936979227161822,0.204681290682685
"167",166,171,0.05,90,36,8,0.826905987958153,0.551176328502415,0.571701631701632,0.55647196666224,0.567979078967046,0.00506004092822117,0.221134296415195
"168",167,341,0.05,90,36,9,0.83551443548488,0.562406056363589,0.596037296037296,0.573922023365417,0.57330113128281,0.00393574471192121,0.213675833891285
"169",168,683,0.05,90,36,10,0.831088123737747,0.576356578744639,0.556317016317016,0.562233322233322,0.565242578599993,0.0029983607650699,0.2106530370871
"170",169,21,0.05,90,37,5,0.832707483147856,0.544621212121212,0.623822843822844,0.579861966103857,0.572201340864749,0.0427301678346309,0.221839690623507
"171",170,43,0.05,90,37,6,0.838758643947058,0.573460178217337,0.586480186480187,0.571700974973903,0.585812088782988,0.0174301298098808,0.213580341092544
"172",171,85,0.05,90,37,7,0.84032305641586,0.574510218708237,0.587179487179487,0.575111402179071,0.58405609398866,0.00936979260089956,0.209907840202552
"173",172,171,0.05,90,37,8,0.839137035402737,0.612726158014783,0.55990675990676,0.572736812698162,0.580294180312688,0.00543562843938883,0.202414366454456
"174",173,341,0.05,90,37,9,0.821937488812027,0.555559477166156,0.5195337995338,0.532235431512736,0.548166048843071,0.00374812646328921,0.222618343611839
"175",174,683,0.05,90,37,10,0.837187106770379,0.592809431611305,0.55053613053613,0.568568417794981,0.571435786652106,0.00337359594520856,0.204611100113188
"176",175,21,0.05,90,38,5,0.834833638358095,0.542925246752473,0.636130536130536,0.583694187277614,0.57518426864528,0.039349382690024,0.221877454831108
"177",176,43,0.05,90,38,6,0.822369217403945,0.555041028258883,0.617715617715618,0.580956806127229,0.568663671845254,0.0170541922726535,0.219626312973445
"178",177,85,0.05,90,38,7,0.8349070429431,0.551053852254609,0.617902097902098,0.581886680050554,0.57423935415634,0.00862072596695555,0.218169018050745
"179",178,171,0.05,90,38,8,0.837852347806537,0.583819945705928,0.575058275058275,0.576779963374848,0.580435836297027,0.00487295216397668,0.20616540092475
"180",179,341,0.05,90,38,9,0.839212991333577,0.576283846872082,0.531655011655012,0.550134559268353,0.581979221260847,0.00393574635832789,0.211401638424419
"181",180,683,0.05,90,38,10,0.83116277873482,0.592959228312637,0.574965034965035,0.576179222700962,0.571961876774561,0.00318597769657656,0.204657711694968
"182",181,21,0.05,90,39,5,0.832943673242181,0.536816561948475,0.602564102564103,0.559973174993162,0.582027299900721,0.0387938949554475,0.230884607124049
"183",182,43,0.05,90,39,6,0.834331560595784,0.525482226515887,0.62974358974359,0.570473957419039,0.578856550371713,0.0221137004236738,0.232375883529047
"184",183,85,0.05,90,39,7,0.832526510974863,0.546599829898336,0.614592074592075,0.576408763348055,0.579114661918766,0.0080585772002429,0.221114584213342
"185",184,171,0.05,90,39,8,0.834147417037915,0.583044778393616,0.568951048951049,0.568111277875491,0.573958000939043,0.00599689901277965,0.205385381952281
"186",185,341,0.05,90,39,9,0.831523563378152,0.610201261398787,0.528997668997669,0.56139430301699,0.575320408413679,0.0039359189017477,0.203894567880375
